theta,v,t
29.06,0.0,25.85
29.44,0.05,26.26
35.0,0.05,26.67
38.38,0.26,27.09
60.13,0.16,27.5
70.19,0.08,27.92
74.56,0.2,28.33
88.75,0.03,28.75
90.88,0.01,29.16
93.5,0.0,29.58
91.0,0.0,29.99
78.94,-0.34,30.4
59.69,-0.25,30.82
46.5,-0.21,31.23
36.75,0.0,31.64
41.0,0.24,32.06
57.38,0.15,32.47
68.81,0.01,32.88
73.38,0.02,33.3
87.88,0.01,33.71
89.19,0.0,34.13
87.88,-0.22,34.54
74.44,-0.02,34.96
71.44,0.0,35.37
71.44,0.0,35.78
71.44,-0.04,36.2
48.81,-0.3,36.61
37.13,-0.08,37.03
7.0,8.79,37.44
342.38,-0.17,37.8
334.56,0.0,38.27
334.56,0.0,38.68
334.56,0.0,39.09
334.56,0.04,39.51
336.25,0.04,39.92
346.56,-8.42,40.3
38.19,0.04,40.75
55.31,0.3,41.17
71.44,0.0,41.58
76.56,0.34,42.0
110.31,0.04,42.41
121.63,0.0,42.83
121.63,0.0,43.24
121.63,0.0,43.65
121.63,0.0,44.07
121.63,0.0,44.48
121.63,-0.51,44.9
85.81,0.0,45.31
77.5,0.0,45.72
77.5,0.0,46.14
77.5,0.0,46.55
77.5,0.0,46.97
82.63,0.16,47.38
88.88,0.24,47.8
101.0,0.06,48.21
103.38,0.0,48.63
105.06,0.16,49.04
