,time,velocity
0,1572618316026,3.42
1,1572618316465,3.744
2,1572618316856,3.708
3,1572618317295,3.528
4,1572618317685,3.348
5,1572618318122,3.384
6,1572618318512,3.564
7,1572618318951,3.564
8,1572618319341,3.348
9,1572618319779,3.384
10,1572618320170,3.384
11,1572618320609,3.528
12,1572618320998,3.42
13,1572618321438,3.204
14,1572618321828,3.312
15,1572618322268,3.348
16,1572618322704,3.456
17,1572618323096,3.276
18,1572618323487,3.06
19,1572618323923,3.096
20,1572618324313,3.276
21,1572618324753,3.348
22,1572618325143,3.348
23,1572618325582,2.988
24,1572618325972,2.988
25,1572618326410,3.348
26,1572618326800,3.276
27,1572618327246,3.096
28,1572618327629,2.88
29,1572618328068,2.88
30,1572618328457,3.06
31,1572618328897,3.204
32,1572618329335,3.06
33,1572618329722,2.844
34,1572618330161,2.772
35,1572618330554,2.916
36,1572618330992,3.096
37,1572618331382,3.06
38,1572618331821,2.808
39,1572618332260,2.664
40,1572618332649,2.88
41,1572618333039,2.916
42,1572618333478,3.168
43,1572618333869,2.844
44,1572618334304,2.628
45,1572618334714,2.7
46,1572618335133,2.7
47,1572618335527,2.88
48,1572618335916,2.916
49,1572618336355,2.7
50,1572618336793,2.52
51,1572618337234,2.484
52,1572618337619,2.664
53,1572618338061,2.808
54,1572618338452,2.808
55,1572618338889,2.592
56,1572618339279,2.412
57,1572618339718,2.376
58,1572618340109,2.52
59,1572618340547,2.7
60,1572618340934,2.736
61,1572618341376,2.52
62,1572618341766,2.34
63,1572618342205,2.268
64,1572618342592,2.376
65,1572618343030,2.7
66,1572618343424,2.664
67,1572618343862,2.556
68,1572618344253,2.304
69,1572618344645,2.16
70,1572618345081,2.196
71,1572618345519,2.376
72,1572618345958,2.664
73,1572618346348,2.556
74,1572618346788,2.34
75,1572618347177,2.124
76,1572618347567,2.052
77,1572618348006,2.124
78,1572618348396,2.304
79,1572618348835,2.448
80,1572618349227,2.448
81,1572618349664,2.268
82,1572618350054,2.016
83,1572618350490,1.908
84,1572618350880,1.944
85,1572618351322,2.232
86,1572618351714,2.304
87,1572618352149,2.376
88,1572618352540,2.34
89,1572618352979,2.016
90,1572618353371,1.872
91,1572618353805,1.8
92,1572618354195,1.908
93,1572618354640,2.124
94,1572618355028,2.268
95,1572618355465,2.268
96,1572618355854,2.088
97,1572618356291,1.944
98,1572618356685,1.692
99,1572618357123,1.656
100,1572618357522,1.872
101,1572618357948,1.98
102,1572618358341,2.16
103,1572618358780,2.16
104,1572618359170,2.016
105,1572618359606,1.872
106,1572618360045,1.584
107,1572618360439,1.512
108,1572618360828,1.62
109,1572618361267,1.728
110,1572618361656,1.944
111,1572618362092,2.052
112,1572618362482,2.052
113,1572618362921,1.872
