,time,velocity
0,1572857478478,0.0
1,1572857478867,0.0
2,1572857479310,0.0
3,1572857479700,0.0
4,1572857480138,0.0
5,1572857480529,0.0
6,1572857480968,0.0
7,1572857481357,0.0
8,1572857481796,0.0
9,1572857482234,0.0
10,1572857482625,0.0
11,1572857483179,0.0
12,1572857483453,0.0
13,1572857483844,0.0
14,1572857484283,0.0
15,1572857484672,0.0
16,1572857485111,0.0
17,1572857485500,0.0
18,1572857485939,0.0
19,1572857486350,0.0
20,1572857486765,0.0
21,1572857487159,0.0
22,1572857487597,0.0
23,1572857488035,-32.58
24,1572857488427,1.584
25,1572857488813,2.196
26,1572857489255,2.088
27,1572857489646,1.548
28,1572857490084,1.008
29,1572857490470,-0.396
30,1572857490909,-0.144
31,1572857491303,-0.18
32,1572857491742,0.324
33,1572857492129,0.036
34,1572857492566,-1.692
35,1572857492961,-0.864
36,1572857493399,0.684
37,1572857493790,13.176
38,1572857494228,2.052
39,1572857494618,3.672
40,1572857495057,4.356
41,1572857495447,5.04
42,1572857495886,6.588
43,1572857496275,7.092
44,1572857496714,7.236
45,1572857497154,7.02
46,1572857497494,6.948
47,1572857497932,6.588
48,1572857498322,5.868
49,1572857498761,4.86
50,1572857499151,3.6
51,1572857499589,3.024
52,1572857499980,3.672
53,1572857500419,4.968
54,1572857500808,5.724
55,1572857501247,6.624
56,1572857501641,6.48
57,1572857502076,7.632
58,1572857502466,7.128
59,1572857502904,7.308
60,1572857503294,6.912
61,1572857503733,5.616
62,1572857504124,4.464
63,1572857504563,2.556
64,1572857504962,0.36
65,1572857505393,-0.108
66,1572857505778,-0.036
67,1572857506220,0.0
68,1572857506610,-0.036
69,1572857507046,0.0
70,1572857507439,0.0
71,1572857507875,0.0
