,time,velocity
0,1572530163845,0.0704912
1,1572530164093,0.87512
2,1572530165847,0.102977
3,1572530166098,0.204684
4,1572530167849,0.505442
5,1572530168101,0.374383
6,1572530169852,0.0426412
7,1572530170107,0.378098
8,1572530171858,0.119831
9,1572530172113,0.372476
10,1572530173862,0.754683
11,1572530174119,0.115274
12,1572530175866,0.587974
13,1572530176125,0.0847361
14,1572530177871,0.296858
15,1572530178129,0.380324
16,1572530179876,0.64745
17,1572530180134,0.521749
18,1572530181880,0.987944
19,1572530182136,0.664605
20,1572530183885,0.897842
21,1572530184140,0.79043
22,1572530185888,0.709274
23,1572530186143,0.89539
24,1572530187894,0.107135
25,1572530188149,0.508574
26,1572530189898,0.0452151
27,1572530190154,0.579514
28,1572530191903,0.0838733
29,1572530192160,0.548537
30,1572530193907,0.321065
31,1572530194166,0.445495
32,1572530195911,0.319755
33,1572530196172,0.602005
34,1572530197913,0.990154
35,1572530198178,0.408117
36,1572530199914,0.0585062
37,1572530200179,0.722194
38,1572530201918,0.526577
39,1572530202185,0.781991
40,1572530203924,0.697289
41,1572530204190,0.406007
42,1572530205929,0.465568
43,1572530206196,0.212678
44,1572530207935,0.708079
45,1572530208202,0.905575
46,1572530209940,0.42792
47,1572530210207,0.0188273
48,1572530211947,0.227326
49,1572530212213,0.659888
50,1572530213949,0.719374
51,1572530214215,0.981414
52,1572530215954,0.624048
53,1572530216216,0.91059
54,1572530217958,0.644903
55,1572530218218,0.25883
56,1572530219965,0.912749
57,1572530220219,0.231673
58,1572530221968,0.634567
59,1572530222224,0.615244
