,time,velocity
0,1572530312128,0.9479
1,1572530312402,0.470819
2,1572530314130,0.945619
3,1572530314403,0.429696
4,1572530316135,0.849632
5,1572530316405,0.215939
6,1572530318136,0.186779
7,1572530318408,0.993323
8,1572530320142,0.651042
9,1572530320412,0.922361
10,1572530322146,0.465757
11,1572530322415,0.630047
12,1572530324147,0.944297
13,1572530324417,0.232644
14,1572530326149,0.900234
15,1572530326423,0.530536
16,1572530328152,0.249228
17,1572530328431,0.954703
18,1572530330153,0.941984
19,1572530330432,0.152527
20,1572530332156,0.81526
21,1572530332435,0.504894
22,1572530334159,0.368088
23,1572530334437,0.651463
24,1572530336164,0.77057
25,1572530336440,0.936478
26,1572530338170,0.792109
27,1572530338442,0.00743969
28,1572530340172,0.192804
29,1572530340448,0.949676
30,1572530342176,0.962382
31,1572530342454,0.0577214
32,1572530344182,0.669685
33,1572530344455,0.687476
34,1572530346184,0.4289
35,1572530346459,0.540086
36,1572530348189,0.958695
37,1572530348466,0.0260927
38,1572530350193,0.661563
39,1572530350471,0.811574
40,1572530352195,0.852254
41,1572530352473,0.499988
42,1572530354200,0.585994
43,1572530354474,0.513706
44,1572530356202,0.507862
45,1572530356478,0.739789
46,1572530358208,0.792841
47,1572530358484,0.138556
48,1572530360210,0.0840098
49,1572530360486,0.633155
50,1572530362214,0.803979
51,1572530362492,0.297708
52,1572530364219,0.565612
53,1572530364494,0.70531
54,1572530366221,0.604147
55,1572530366498,0.0294979
56,1572530368223,0.892771
57,1572530368502,0.143123
58,1572530370224,0.930833
59,1572530370505,0.626748
