,time,velocity
0,1572263295530,0.284154
1,1572263297534,0.203448
2,1572263299536,0.577391
3,1572263301541,0.0246476
4,1572263303545,0.208632
5,1572263305547,0.73302
6,1572263307552,0.497543
7,1572263309556,0.180867
8,1572263311559,0.807159
9,1572263313562,0.938964
10,1572263315564,0.0325449
11,1572263317565,0.705058
12,1572263319569,0.511151
13,1572263321571,0.0530443
14,1572263323577,0.0421257
15,1572263325583,0.867713
16,1572263327587,0.399825
17,1572263329591,0.204258
18,1572263331594,0.595324
19,1572263333597,0.256769
20,1572263335601,0.590379
21,1572263337606,0.379572
22,1572263339607,0.626099
23,1572263341609,0.480144
24,1572263343615,0.445825
25,1572263345617,0.881593
26,1572263347619,0.820831
27,1572263349625,0.416592
28,1572263351626,0.558077
29,1572263353628,0.448651
30,1572263355630,0.252931
31,1572263357631,0.00122712
32,1572263359634,0.388582
33,1572263361636,0.0175575
34,1572263363639,0.762476
35,1572263365643,0.222105
36,1572263367645,0.255444
37,1572263369649,0.202482
38,1572263371651,0.0931266
39,1572263373654,0.563863
40,1572263375658,0.163811
41,1572263377664,0.558136
42,1572263379666,0.654077
43,1572263381669,0.140109
44,1572263383671,0.094575
45,1572263385676,0.53827
46,1572263387681,0.0450651
47,1572263389684,0.985803
48,1572263391685,0.0336776
49,1572263393687,0.468522
50,1572263395688,0.926658
51,1572263397689,0.642368
52,1572263399691,0.756201
53,1572263401692,0.560919
54,1572263403694,0.991607
55,1572263405696,0.672963
56,1572263407700,0.823625
57,1572263409707,0.951332
58,1572263411710,0.880126
59,1572263413714,0.131619
60,1572263415716,0.100981
61,1572263417721,0.285819
62,1572263419726,0.197806
63,1572263421727,0.217153
64,1572263423729,0.696026
65,1572263425730,0.809779
66,1572263427732,0.475279
67,1572263429734,0.644304
68,1572263431737,0.162868
69,1572263433741,0.424442
70,1572263435742,0.242409
71,1572263437748,0.371884
72,1572263439749,0.807276
73,1572263441751,0.854679
74,1572263443752,0.585958
75,1572263445753,0.869706
76,1572263447759,0.507548
77,1572263449761,0.892216
78,1572263451762,0.0345061
79,1572263453765,0.88342
80,1572263455766,0.557834
81,1572263457768,0.405083
82,1572263459769,0.0792443
83,1572263461772,0.0852331
84,1572263463773,0.943218
85,1572263465775,0.8025
86,1572263467778,0.70505
87,1572263469784,0.0182497
88,1572263471786,0.635582
89,1572263473787,0.769293
90,1572263475792,0.257672
91,1572263477794,0.9888
92,1572263479796,0.952538
93,1572263481797,0.547248
94,1572263483799,0.324455
95,1572263485800,0.699873
96,1572263487803,0.675802
97,1572263489805,0.874081
98,1572263491809,0.928091
99,1572263493814,0.194557
100,1572263495815,0.0802668
101,1572263497821,0.119693
102,1572263499825,0.529094
103,1572263501826,0.0628105
104,1572263503828,0.344641
105,1572263505829,0.117092
106,1572263507831,0.0778705
107,1572263509835,0.975319
108,1572263511837,0.79896
109,1572263513839,0.738741
110,1572263515845,0.50296
111,1572263517851,0.608854
112,1572263519854,0.836934
113,1572263521856,0.418714
114,1572263523857,0.410257
115,1572263525859,0.991468
116,1572263527865,0.494907
117,1572263529866,0.198228
118,1572263531868,0.870018
119,1572263533870,0.53869
120,1572263535877,0.791474
121,1572263537881,0.221347
122,1572263539882,0.20666
123,1572263541883,0.56632
124,1572263543884,0.906044
125,1572263545890,0.377887
126,1572263547893,0.055288
127,1572263549894,0.732392
128,1572263551900,0.175851
129,1572263553901,0.992637
130,1572263555905,0.638699
131,1572263557906,0.373603
132,1572263559910,0.916215
133,1572263561913,0.142473
134,1572263563918,0.00751042
135,1572263565923,0.804579
136,1572263567928,0.301237
137,1572263569930,0.520871
138,1572263571934,0.518019
139,1572263573940,0.581765
140,1572263575942,0.506043
141,1572263577945,0.458156
142,1572263579948,0.834427
143,1572263581951,0.829184
144,1572263583956,0.207478
145,1572263585962,0.865188
146,1572263587964,0.728338
147,1572263589968,0.977427
148,1572263591974,0.405455
149,1572263593977,0.480196
150,1572263595978,0.144873
151,1572263597982,0.132828
152,1572263599985,0.17968
153,1572263601989,0.277913
154,1572263603990,0.9644
155,1572263605992,0.0157676
156,1572263607997,0.0450501
157,1572263609998,0.950699
158,1572263612000,0.55315
159,1572263614002,0.245957
160,1572263616008,0.841954
161,1572263618013,0.00406343
162,1572263620018,0.090919
163,1572263622020,0.253067
164,1572263624025,0.561296
165,1572263626031,0.84181
166,1572263628032,0.635408
167,1572263630035,0.320754
168,1572263632037,0.89908
169,1572263634042,0.512903
170,1572263636048,0.717381
171,1572263638051,0.803755
172,1572263640052,0.553926
173,1572263642059,0.273695
174,1572263644060,0.0945658
175,1572263646064,0.452027
176,1572263648068,0.311056
177,1572263650070,0.0834952
178,1572263652071,0.173319
179,1572263654072,0.638871
180,1572263656074,0.122491
181,1572263658077,0.466278
182,1572263660079,0.669374
183,1572263662083,0.205175
184,1572263664089,0.90524
185,1572263666090,0.520499
186,1572263668094,0.430114
187,1572263670095,0.593565
188,1572263672098,0.970554
189,1572263674099,0.61686
190,1572263676101,0.68488
191,1572263678106,0.695689
192,1572263680108,0.549578
193,1572263682115,0.883652
194,1572263684120,0.373161
195,1572263686124,0.80559
196,1572263688125,0.158952
197,1572263690129,0.39861
198,1572263692132,0.0677225
199,1572263694135,0.844424
200,1572263696137,0.613145
201,1572263698141,0.911726
202,1572263700142,0.783779
203,1572263702145,0.0363954
204,1572263704147,0.767771
205,1572263706148,0.193277
206,1572263708149,0.724842
207,1572263710154,0.956124
208,1572263712155,0.902161
209,1572263714157,0.416291
210,1572263716158,0.174529
211,1572263718162,0.406351
212,1572263720163,0.498248
213,1572263722164,0.80541
214,1572263724170,0.436105
215,1572263726173,0.611796
216,1572263728179,0.0943077
217,1572263730183,0.449564
218,1572263732184,0.517905
219,1572263734189,0.528719
220,1572263736194,0.402129
221,1572263738195,0.445939
222,1572263740197,0.202061
223,1572263742198,0.0292729
224,1572263744199,0.581266
225,1572263746201,0.833417
226,1572263748202,0.47827
227,1572263750204,0.438859
228,1572263752210,0.774546
229,1572263754211,0.428635
230,1572263756212,0.652899
231,1572263758214,0.401366
232,1572263760220,0.726105
233,1572263762224,0.394045
234,1572263764230,0.123949
235,1572263766231,0.933906
236,1572263768233,0.0367545
237,1572263770235,0.81149
238,1572263772236,0.404865
239,1572263774239,0.278022
240,1572263776243,0.820436
241,1572263778247,0.943245
242,1572263780251,0.293559
243,1572263782253,0.725216
244,1572263784259,0.765473
245,1572263786265,0.964147
246,1572263788271,0.771251
247,1572263790277,0.902867
248,1572263792278,0.612148
249,1572263794284,0.685591
250,1572263796288,0.922854
251,1572263798292,0.870304
252,1572263800294,0.415629
253,1572263802301,0.402402
254,1572263804302,0.575533
255,1572263806304,0.152023
256,1572263808305,0.491059
257,1572263810311,0.945384
258,1572263812316,0.797572
259,1572263814317,0.189491
260,1572263816320,0.110856
261,1572263818321,0.601569
262,1572263820322,0.990292
263,1572263822326,0.890981
264,1572263824329,0.525977
265,1572263826330,0.7025
266,1572263828336,0.563477
267,1572263830342,0.505614
268,1572263832347,0.0422662
269,1572263834348,0.920568
270,1572263836349,0.768435
271,1572263838354,0.393627
272,1572263840356,0.975752
273,1572263842357,0.351845
274,1572263844358,0.161034
275,1572263846360,0.7322
276,1572263848365,0.345917
277,1572263850366,0.698827
278,1572263852369,0.453228
279,1572263854370,0.452454
280,1572263856373,0.254562
281,1572263858374,0.618714
282,1572263860375,0.47519
283,1572263862382,0.706635
284,1572263864383,0.890784
285,1572263866386,0.483209
286,1572263868387,0.660098
287,1572263870388,0.82045
288,1572263872392,0.586441
289,1572263874394,0.173631
290,1572263876397,0.802073
291,1572263878403,0.771682
292,1572263880404,0.468503
293,1572263882406,0.903559
294,1572263884408,0.862981
295,1572263886413,0.643675
296,1572263888415,0.219544
297,1572263890419,0.648536
298,1572263892423,0.476625
