,time,velocity
0,1572263225378,0.792618
1,1572263227384,0.285787
2,1572263229391,0.574311
3,1572263231397,0.9143
4,1572263233404,0.266132
5,1572263235410,0.0581988
6,1572263237414,0.343552
7,1572263239416,0.0588491
8,1572263241418,0.377739
9,1572263243420,0.989289
10,1572263245426,0.513696
11,1572263247432,0.489541
12,1572263249439,0.0196351
13,1572263251441,0.571202
14,1572263253445,0.888066
15,1572263255449,0.734038
16,1572263257456,0.970028
17,1572263259463,0.725466
18,1572263261469,0.87891
19,1572263263475,0.164716
20,1572263265482,0.810513
21,1572263267487,0.510148
22,1572263269492,0.00192589
23,1572263271493,0.028081
24,1572263273495,0.204941
25,1572263275497,0.339515
26,1572263277499,0.589201
27,1572263279501,0.606197
28,1572263281504,0.165096
29,1572263283509,0.893532
30,1572263285513,0.177163
31,1572263287519,0.717715
32,1572263289520,0.986135
33,1572263291522,0.0745783
34,1572263293525,0.322228
35,1572263295530,0.284154
36,1572263297534,0.203448
37,1572263299536,0.577391
38,1572263301541,0.0246476
39,1572263303545,0.208632
40,1572263305547,0.73302
41,1572263307552,0.497543
42,1572263309556,0.180867
43,1572263311559,0.807159
44,1572263313562,0.938964
45,1572263315564,0.0325449
46,1572263317565,0.705058
47,1572263319569,0.511151
48,1572263321571,0.0530443
49,1572263323577,0.0421257
50,1572263325583,0.867713
51,1572263327587,0.399825
52,1572263329591,0.204258
53,1572263331594,0.595324
54,1572263333597,0.256769
55,1572263335601,0.590379
56,1572263337606,0.379572
57,1572263339607,0.626099
58,1572263341609,0.480144
59,1572263343615,0.445825
60,1572263345617,0.881593
61,1572263347619,0.820831
62,1572263349625,0.416592
63,1572263351626,0.558077
64,1572263353628,0.448651
65,1572263355630,0.252931
66,1572263357631,0.00122712
67,1572263359634,0.388582
68,1572263361636,0.0175575
69,1572263363639,0.762476
70,1572263365643,0.222105
71,1572263367645,0.255444
72,1572263369649,0.202482
73,1572263371651,0.0931266
74,1572263373654,0.563863
75,1572263375658,0.163811
76,1572263377664,0.558136
77,1572263379666,0.654077
78,1572263381669,0.140109
79,1572263383671,0.094575
80,1572263385676,0.53827
81,1572263387681,0.0450651
82,1572263389684,0.985803
83,1572263391685,0.0336776
84,1572263393687,0.468522
85,1572263395688,0.926658
86,1572263397689,0.642368
87,1572263399691,0.756201
88,1572263401692,0.560919
89,1572263403694,0.991607
90,1572263405696,0.672963
91,1572263407700,0.823625
92,1572263409707,0.951332
93,1572263411710,0.880126
94,1572263413714,0.131619
95,1572263415716,0.100981
96,1572263417721,0.285819
