theta,v,t
0.0,0.0,9.28
0.0,0.0,9.69
0.0,0.0,10.1
0.0,0.0,10.52
0.0,0.0,10.93
0.0,0.0,11.34
0.13,-0.0,11.76
0.06,0.0,12.17
0.06,0.06,12.58
2.5,0.0,13.0
2.5,0.0,13.41
2.5,0.0,13.83
2.5,0.0,14.24
2.5,0.0,14.66
7.75,0.3,15.07
36.06,0.15,15.48
49.81,0.0,15.9
49.81,0.24,16.31
60.38,0.0,16.73
60.38,0.0,17.14
60.38,0.0,17.56
60.38,0.0,17.97
60.38,0.0,18.38
60.38,0.0,18.8
60.38,0.0,19.21
60.38,0.0,19.63
60.38,0.0,20.04
60.38,0.0,20.45
60.38,0.0,20.87
60.38,-0.04,21.28
48.19,0.0,21.7
48.19,0.0,22.11
48.19,0.0,22.53
48.19,0.0,22.94
48.19,0.0,23.36
48.19,0.0,23.77
48.19,0.0,24.18
48.19,-0.04,24.6
42.31,-0.33,25.01
17.38,-0.1,25.43
12.75,-0.0,25.84
12.69,-0.0,26.25
12.44,0.0,26.67
12.31,0.0,27.11
11.75,0.0,27.52
11.75,0.0,27.94
11.75,0.0,28.35
11.75,0.0,28.77
11.75,0.0,29.18
11.75,0.0,29.59
11.75,0.0,30.01
11.75,0.0,30.42
11.75,0.03,30.84
12.94,0.0,31.25
12.94,0.0,31.67
12.94,0.0,32.08
12.94,0.0,32.49
12.5,-0.0,32.91
12.44,0.0,33.33
12.44,0.0,33.74
12.44,0.0,34.15
12.44,0.0,34.57
12.44,0.0,34.99
12.44,-0.16,35.4
6.25,0.0,35.81
6.25,0.0,36.23
6.25,0.02,36.64
7.0,0.0,37.06
7.0,0.0,37.47
7.0,0.0,37.88
7.0,0.0,38.3
7.0,0.0,38.71
7.0,0.0,39.13
7.0,0.0,39.54
7.0,0.5,39.96
38.75,0.19,40.37
